model	adaptor	trigger	query	result	need
engineering/product-development/design-review	ToUserDirectoryService	ReviewSubmitted	GetReviewers	ReviewerList	a submitted review needing reviewers with the right discipline to be found
engineering/project-engineering/design-review	ToIdentityService	ReviewerAssigned	GetReviewerInfo	ReviewerDetails	an assigned reviewer needing their name and discipline filled in
engineering/project-engineering/design-review	ToProjectService	SubmittalCreated	GetProjectInfo	ProjectDetails	a new submittal needing the project it belongs to
engineering/project-engineering/engineering-project	ToResourceService	TaskAdded	GetAvailableResources	ResourceAvailability	a new task needing people free to be put on it
entertainment/gaming/game-economy	ToItemCatalogService	ItemPurchased	GetStoreItems	StoreCatalog	a purchase needing the catalogue to say what was bought and for how much
entertainment/live-events/production-management	ToCrewManagement	ProductionCreated	GetAvailableCrew	AvailableCrew	hold the crew that came back free against the production, so assignment can choose from it
entertainment/live-events/production-management	ToVenueSystem	ProductionCreated	GetVenueDetails	VenueDetails	a production needing the hall's dimensions and rig before anything is planned
entertainment/live-events/ticketing	ToVenueSystem	TicketCreated	GetSeatAvailability	SeatAvailability	a ticket existing being when the seat it names must be known to be free
entertainment/media/advertising-delivery	ToAdDecisionService	ImpressionOpportunityOpened	RequestAd	AdDecision	an opportunity opening needing an ad chosen to fill it
entertainment/media/advertising-delivery	ToCampaignService	ImpressionRecorded	GetCampaign	GetCampaignResult	a recorded impression needing the campaign it should be counted against
entertainment/media/advertising-delivery	ToTargetingService	ImpressionOpportunityOpened	EvaluateTargeting	TargetingResult	an opportunity opening needing the viewer matched against the targeting rules
entertainment/media/content-management	ToRightsService	ContentSubmittedForReview	CheckRightsClearance	RightsClearance	content going to review needing its rights to be clear first
entertainment/media/streaming-platform	ToCDNService	StreamStarted	GetStreamUrl	StreamUrlResult	a stream starting needing an edge URL to play from
entertainment/media/streaming-platform	ToContinueWatchingService	StreamStarted	GetProgress	GetProgressResult	playback needing to know where the viewer left off
entertainment/media/streaming-platform	ToRecommendationService	StreamEnded	GetRecommendations	RecommendationList	a finished stream needing something to offer next
entertainment/media/streaming-platform	ToSubscriptionService	StreamStarted	CheckEntitlement	EntitlementResult	a stream starting needing the viewer to be entitled to it
entertainment/sports/athlete-management	ToLeagueRegistry	ContractSigned	GetLeagueEligibility	LeagueEligibility	a signing needing the league's word that the athlete may play
entertainment/sports/athlete-management	ToMedicalSystem	InjuryRecorded	GetMedicalHistory	MedicalHistory	a new injury needing what came before it
entertainment/sports/league-management	ToBroadcastSystem	MatchScheduled	GetBroadcastSchedule	BroadcastScheduleResult	a scheduled match being what a broadcast slot is sought for
entertainment/sports/league-management	ToVenueBooking	MatchScheduled	CheckAvailability	VenueAvailability	and what a venue must be free for
finance/banking/account-management	ToCustomerService	AccountOpened	GetCustomer	CustomerResult	a newly opened account needing the customer record behind it
finance/banking/fund-transfer	ToFXService	TransferValidated	GetExchangeRate	ExchangeQuote	a validated cross-currency transfer needing a rate before it is priced
finance/payments/payment-processing	ToMerchantService	PaymentInitiated	GetMerchant	MerchantDetails	a payment starting needing the merchant's terms and account
finance/trading/order-management	ToAccountService	OrderPlaced	GetAccountInfo	AccountInfo	a placed order needing the account's buying power behind it
government/citizen-services/benefits-administration	ToEBTCardService	PaymentIssued	GetCardBalance	CardBalanceResult	the balance mattering once money has been loaded onto the card
government/citizen-services/benefits-administration	ToIncomeVerificationService	ApplicationSubmitted	GetWageData	WageDataResult	an application needing wages verified before eligibility can be worked out
government/citizen-services/case-management	ToBenefitsIntegrationService	ServicesRequested	GetCurrentBenefits	CurrentBenefitsResult	a request for services needing what the household already receives
government/citizen-services/case-management	ToDocumentManagementService	ServicesRequested	RetrieveDocument	DocumentResult	a service request needing the documents already filed on the case
government/citizen-services/case-management	ToIncomeVerificationService	EligibilityDetermined	GetWageHistory	WageHistoryResult	a determination resting on income the wage record must corroborate
government/citizen-services/permit-management	ToContractorLicensingService	ApplicationSubmitted	VerifyLicense	LicenseVerificationResult	an application needing the contractor's licence to be current
