0	Review.AssignReviewer	assignment=prompt("an assignment of one of askAnswer.availableReviewers with the discipline the review needs")	
1	+Submittal.RecordReviewerDetails	reviewerId:ReviewerId=askAnswer.reviewerId;name:String(1,200)=askAnswer.name;discipline:DesignDiscipline=askAnswer.discipline	
2	Submittal.UpdateSubmittal	info=prompt("the submittal's info with askAnswer.projectId and askAnswer.name filled in")	
3	Project.AssignResource	allocation=prompt("an allocation of one of askAnswer.availableResources to the task just added")	
4	Wallet.AddItem	item=prompt("the item among askAnswer.storeItems that itemPurchased.item names")	
5	Production.AssignCrew	assignment=prompt("an assignment drawn from askAnswer.crewMembers")	
6	+Production.RecordVenueDetails	venueId:VenueId=askAnswer.venueId;capacity:Natural=askAnswer.capacity;stageSpecs:String(3,500)=askAnswer.stageSpecs	
7	Ticket.CancelTicket	cancellationReason=prompt("the seat is not among askAnswer.availableSeats")	guard=ticketCreated.seatInfo is not among askAnswer.availableSeats
8	AdImpression.RecordImpression	adUnit=askAnswer.selectedAdUnit,placement=impressionOpportunityOpened.placement,viewer=impressionOpportunityOpened.viewer	guard=not askAnswer.noFill
9	+AdImpression.AttributeToCampaign	campaignId:CampaignId=askAnswer.campaignId	
10	+AdImpression.RecordTargetingOutcome	matches:Boolean=askAnswer.matches;score:Decimal(5,4)=askAnswer.score	
11	Content.RejectContent	rejectedBy=prompt("the rights service, acting for the review"),reason=prompt("the restrictions in askAnswer that block clearance")	guard=not askAnswer.cleared
12	+Stream.RecordStreamUrl	streamUrl:URL("https")=askAnswer.streamUrl;expiresAt:TimeStamp=askAnswer.expiresAt	
13	Stream.SeekPosition	position=prompt("the position askAnswer says the viewer left off at")	
14	+Stream.RecordRecommendations	recommendations:Recommendation+=askAnswer.recommendations	
15	Stream.EndStream	finalPosition=prompt("zero: nothing was watched"),reason=askAnswer.denialReason	guard=not askAnswer.entitled
16	Athlete.SuspendAthlete	reason=prompt("the league's restrictions in askAnswer"),suspendedUntil=prompt("until the league lifts them")	guard=not askAnswer.eligible
17	+Athlete.RecordMedicalHistory	reports:String(1,2000)+=askAnswer.reports;clearanceStatus:String(1,50)=askAnswer.clearanceStatus	
18	+Season.RecordBroadcastSlot	matchId:MatchId=matchScheduled.matchId;channels:String(3,100)+=askAnswer.channels	
19	+Season.RecordVenueAvailability	matchId:MatchId=matchScheduled.matchId;venueId:VenueId=askAnswer.venueId;available:Boolean=askAnswer.available	
20	Account.UpdateAccountInfo	info=prompt("the account's info with askAnswer.customerName filled in")	
21	Transfer.ApplyExchangeRate	exchangeRate=askAnswer.quotedRate	
22	Payment.AuthorizePayment	info=prompt("the payment's info with the merchant terms askAnswer carries"),card=paymentInitiated.card	
23	TradingOrder.RejectOrder	rejection=prompt("a rejection for buying power askAnswer.buyingPower short of the order's value")	guard=askAnswer.buyingPower is less than the order's value
24	+Benefit.RecordCardBalance	balance:Decimal(10,2)=askAnswer.balance	
25	Benefit.VerifyDocument	documentType=prompt("the income document"),verified=prompt("whether askAnswer.totalIncome corroborates the stated income"),verifiedBy=prompt("the income verification service")	
26	Case.DetermineEligibility	programId=prompt("the program the request names"),determinedBy=prompt("the benefits integration service"),result=prompt("the determination given what askAnswer.benefits already provides")	
27	+Case.AttachRetrievedDocument	documentId:UUID=askAnswer.documentId;fileName:String(1,)=askAnswer.fileName;documentUrl:String(1,500)=askAnswer.documentUrl	
28	Case.RecordIncome	income=prompt("the income askAnswer.quarterlyWages corroborate")	
29	Permit.RequestCorrections	corrections=prompt("the licence askAnswer shows lapsed or invalid"),requestedBy=prompt("the contractor licensing service")	guard=not askAnswer.isValid
30	+Permit.AttachRetrievedDocument	documentId:UUID=askAnswer.documentId;fileName:String(1,)=askAnswer.fileName;downloadUrl:String(1,500)=askAnswer.downloadUrl	
31	Permit.CalculateFees	fees=prompt("the fee schedule askAnswer.feeLineItems gives, totalling askAnswer.totalAmount")	
32	+Permit.RecordParcelInfo	parcelId:ParcelId=askAnswer.parcelId;zoningCode:String(1,20)=askAnswer.zoningCode;historicDistrict:Boolean=askAnswer.historicDistrict	
33	+Permit.RecordZoningRequirements	zoningCode:String(1,20)=askAnswer.zoningCode;maxHeight:Decimal(6,2)=askAnswer.maxHeight;maxLotCoverage:Decimal(5,2)=askAnswer.maxLotCoverage	
34	Permit.ScheduleInspection	inspectionType=prompt("the inspection the inspector was assigned for"),requestedDate=prompt("the earliest of askAnswer.slots")	
35	Incident.DispatchUnit	unitId=prompt("the nearest of askAnswer.units"),dispatchedBy=prompt("the dispatcher, on the AVL's recommendation")	
36	+Incident.RecordUnitLocation	unitId:UnitId=askAnswer.unitId;gpsLocation:GpsLocation=askAnswer.gpsLocation;timestamp:TimeStamp=askAnswer.timestamp	
37	Incident.AddNote	note=prompt("a note linking the call recording at askAnswer.recordingUrl")	
38	Incident.UpdateIncidentDetails	details=prompt("the details with askAnswer.address as the street address")	
39	Incident.UpdateIncidentDetails	details=prompt("the details with askAnswer.latitude and askAnswer.longitude as the position")	
40	Incident.UpdateIncidentDetails	details=prompt("the details with askAnswer.zoneId and askAnswer.jurisdiction as the dispatch zone")	
41	Incident.AddNote	note=prompt("a note listing the hazards in askAnswer.hazards for the responding unit")	
42	Incident.LinkIncidents	linkedIncidentId=prompt("the most recent of askAnswer.previousIncidents"),linkType=prompt("prior incident at the same location")	guard=askAnswer.totalCount is greater than zero
43	Incident.AddNote	note=prompt("a note carrying the warnings in askAnswer.warnings for the unit on scene")	
44	Report.UpdateInvolvedParty	personId=prompt("the person just added"),party=prompt("the party with the licence record askAnswer carries")	
45	Report.AddInvolvedParty	party=prompt("askAnswer.owner, the registered keeper, as an involved party")	
46	Report.AddOffense	offense=prompt("the charges in askAnswer.charges as offenses on the report")	
47	Report.UpdateInvolvedParty	personId=prompt("the person just added"),party=prompt("the party with the warrants and alerts askAnswer carries")	
48	Report.LinkToCase	caseId=prompt("the case askAnswer.caseNumber names")	guard=askAnswer.isStolen
49	Report.AddOffense	offense=prompt("the stolen or wanted vehicle offense askAnswer establishes")	guard=askAnswer.isStolen or askAnswer.isWanted
50	Report.UpdateSection	section=prompt("the section with askAnswer.content cited in it")	
51	+Report.RecordFilingDeadline	requirement:ComplianceRequirement=prompt("the requirement in askAnswer.deadlines this report answers")	
52	Report.RecordAcknowledgment	receipt=prompt("a receipt from askAnswer.filingId and askAnswer.status")	
53	+License.RecordCheckStatus	checkStatus:String(1,50)=askAnswer.checkStatus;estimatedCompletion:Date?=askAnswer.estimatedCompletion	
54	License.VerifyCredentials	credentialType=prompt("continuing education"),verified=prompt("whether askAnswer.totalCredits meets askAnswer.requiredCredits"),verificationNotes=prompt("the credits by category askAnswer lists")	
55	License.RequestAdditionalInfo	infoNeeded=prompt("a resit booking on one of askAnswer.dates"),deadline=prompt("the last of askAnswer.dates")	guard=examResultRecorded.examScore is a fail
